Year,Office,GOP,DFL,Others
2020,President,45.3%,52.4%,2.3%
2020,Senator,43.5%,48.8%,7.7%
2018,Governor,42.4%,53.9%,3.7%
2018,Senator,36.2%,60.3%,3.4%
2018,Senator,42.4%,53.0%,4.6%
2016,President,44.9%,46.4%,8.6%
2014,Governor,44.5%,50.1%,5.4%
2014,Senator,42.9%,53.2%,3.9%
2012,President,45.1%,52.8%,2.1%
2012,Senator,30.6%,65.3%,4.1%
2010,Governor,43.2%,43.7%,13.1%
2008,President,43.8%,54.1%,2.1%
2008,Senator,42.0%,42.0%,16.0%
2006,Governor,46.7%,45.7%,7.6%
2006,Senator,37.9%,58.1%,4.0%
2004,President,47.6%,51.1%,1.3%
2002,Governor,44.4%,33.5%,22.1%
2002,Senator,49.5%,47.3%,1.0%
2000,President,45.5%,47.9%,6.6%
2000,Senator,43.3%,48.8%,7.9%
1998,Governor,34.3%,28.1%,37.6%
1996,President,35.0%,51.1%,13.9%
1996,Senator,41.3%,50.3%,8.4%
1994,Governor,63.3%,34.1%,2.6%
1994,Senator,49.1%,44.1%,6.8%
1992,President,31.9%,43.5%,24.6%
